GEOID,INDX,DSTRCT,GINI,GINI_ERR
5001400US0101,101,"Congressional District 1 (114th Congress), Alabama",0.4698,0.0059
5001400US0102,102,"Congressional District 2 (114th Congress), Alabama",0.4546,0.0046
5001400US0103,103,"Congressional District 3 (114th Congress), Alabama",0.4698,0.0048
5001400US0104,104,"Congressional District 4 (114th Congress), Alabama",0.4592,0.0049
5001400US0105,105,"Congressional District 5 (114th Congress), Alabama",0.4702,0.0057
5001400US0106,106,"Congressional District 6 (114th Congress), Alabama",0.4591,0.0052
5001400US0107,107,"Congressional District 7 (114th Congress), Alabama",0.4896,0.0051
5001400US0200,200,"Congressional District (at Large) (114th Congress), Alaska",0.4146,0.0045
5001400US0401,401,"Congressional District 1 (114th Congress), Arizona",0.4508,0.0056
5001400US0402,402,"Congressional District 2 (114th Congress), Arizona",0.4666,0.0048
5001400US0403,403,"Congressional District 3 (114th Congress), Arizona",0.4377,0.0057
5001400US0404,404,"Congressional District 4 (114th Congress), Arizona",0.4277,0.0053
5001400US0405,405,"Congressional District 5 (114th Congress), Arizona",0.4187,0.0044
5001400US0406,406,"Congressional District 6 (114th Congress), Arizona",0.4947,0.0045
5001400US0407,407,"Congressional District 7 (114th Congress), Arizona",0.4644,0.0044
5001400US0408,408,"Congressional District 8 (114th Congress), Arizona",0.4067,0.0042
5001400US0409,409,"Congressional District 9 (114th Congress), Arizona",0.472,0.0047
5001400US0501,501,"Congressional District 1 (114th Congress), Arkansas",0.4607,0.0052
5001400US0502,502,"Congressional District 2 (114th Congress), Arkansas",0.46,0.0052
5001400US0503,503,"Congressional District 3 (114th Congress), Arkansas",0.4705,0.0049
5001400US0504,504,"Congressional District 4 (114th Congress), Arkansas",0.458,0.0048
5001400US0601,601,"Congressional District 1 (114th Congress), California",0.4562,0.005
5001400US0602,602,"Congressional District 2 (114th Congress), California",0.5212,0.0052
5001400US0603,603,"Congressional District 3 (114th Congress), California",0.4522,0.0048
5001400US0604,604,"Congressional District 4 (114th Congress), California",0.4489,0.0048
5001400US0605,605,"Congressional District 5 (114th Congress), California",0.4482,0.006
5001400US0606,606,"Congressional District 6 (114th Congress), California",0.4675,0.0073
5001400US0607,607,"Congressional District 7 (114th Congress), California",0.4309,0.0047
5001400US0608,608,"Congressional District 8 (114th Congress), California",0.4408,0.0056
5001400US0609,609,"Congressional District 9 (114th Congress), California",0.4489,0.0048
5001400US0610,610,"Congressional District 10 (114th Congress), California",0.4394,0.007
5001400US0611,611,"Congressional District 11 (114th Congress), California",0.4864,0.0051
5001400US0612,612,"Congressional District 12 (114th Congress), California",0.5193,0.0054
5001400US0613,613,"Congressional District 13 (114th Congress), California",0.5127,0.0044
5001400US0614,614,"Congressional District 14 (114th Congress), California",0.4631,0.0053
5001400US0615,615,"Congressional District 15 (114th Congress), California",0.4236,0.0042
5001400US0616,616,"Congressional District 16 (114th Congress), California",0.4632,0.0064
5001400US0617,617,"Congressional District 17 (114th Congress), California",0.413,0.0039
5001400US0618,618,"Congressional District 18 (114th Congress), California",0.4955,0.0044
5001400US0619,619,"Congressional District 19 (114th Congress), California",0.4555,0.0056
5001400US0620,620,"Congressional District 20 (114th Congress), California",0.4583,0.0051
5001400US0621,621,"Congressional District 21 (114th Congress), California",0.4451,0.0053
5001400US0622,622,"Congressional District 22 (114th Congress), California",0.4573,0.0062
5001400US0623,623,"Congressional District 23 (114th Congress), California",0.4507,0.0055
5001400US0624,624,"Congressional District 24 (114th Congress), California",0.4738,0.0056
5001400US0625,625,"Congressional District 25 (114th Congress), California",0.4387,0.0055
5001400US0626,626,"Congressional District 26 (114th Congress), California",0.4492,0.0055
5001400US0627,627,"Congressional District 27 (114th Congress), California",0.4807,0.0049
5001400US0628,628,"Congressional District 28 (114th Congress), California",0.5204,0.0048
5001400US0629,629,"Congressional District 29 (114th Congress), California",0.4345,0.0046
5001400US0630,630,"Congressional District 30 (114th Congress), California",0.4912,0.0051
5001400US0631,631,"Congressional District 31 (114th Congress), California",0.4496,0.0054
5001400US0632,632,"Congressional District 32 (114th Congress), California",0.4175,0.0045
5001400US0633,633,"Congressional District 33 (114th Congress), California",0.5342,0.0051
5001400US0634,634,"Congressional District 34 (114th Congress), California",0.4906,0.0061
5001400US0635,635,"Congressional District 35 (114th Congress), California",0.4004,0.0041
5001400US0636,636,"Congressional District 36 (114th Congress), California",0.4863,0.0069
5001400US0637,637,"Congressional District 37 (114th Congress), California",0.5256,0.0053
5001400US0638,638,"Congressional District 38 (114th Congress), California",0.4181,0.0045
5001400US0639,639,"Congressional District 39 (114th Congress), California",0.4322,0.005
5001400US0640,640,"Congressional District 40 (114th Congress), California",0.4277,0.0047
5001400US0641,641,"Congressional District 41 (114th Congress), California",0.4244,0.0054
