GEOID,INDX,MSA,GINI,GINI_ERR
310M200US10100,10100,"Aberdeen, SD Micro Area",0.418,0.0152
310M200US10140,10140,"Aberdeen, WA Micro Area",0.433,0.0155
310M200US10180,10180,"Abilene, TX Metro Area",0.4594,0.0116
310M200US10220,10220,"Ada, OK Micro Area",0.4239,0.0105
310M200US10300,10300,"Adrian, MI Micro Area",0.4035,0.0094
310M200US10420,10420,"Akron, OH Metro Area",0.4585,0.0044
310M200US10460,10460,"Alamogordo, NM Micro Area",0.4322,0.0162
310M200US10500,10500,"Albany, GA Metro Area",0.4947,0.0129
310M200US10540,10540,"Albany, OR Metro Area",0.407,0.009
310M200US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",0.4334,0.0043
310M200US10620,10620,"Albemarle, NC Micro Area",0.418,0.0119
310M200US10660,10660,"Albert Lea, MN Micro Area",0.4307,0.014
310M200US10700,10700,"Albertville, AL Micro Area",0.4659,0.0107
310M200US10740,10740,"Albuquerque, NM Metro Area",0.4632,0.0041
310M200US10780,10780,"Alexandria, LA Metro Area",0.4721,0.0143
310M200US10820,10820,"Alexandria, MN Micro Area",0.4286,0.0144
310M200US10860,10860,"Alice, TX Micro Area",0.4769,0.0229
310M200US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",0.4355,0.0044
310M200US10940,10940,"Alma, MI Micro Area",0.4219,0.0104
310M200US10980,10980,"Alpena, MI Micro Area",0.4292,0.0156
310M200US11020,11020,"Altoona, PA Metro Area",0.4361,0.0091
310M200US11060,11060,"Altus, OK Micro Area",0.4415,0.0259
310M200US11100,11100,"Amarillo, TX Metro Area",0.4568,0.0088
310M200US11140,11140,"Americus, GA Micro Area",0.4815,0.0157
310M200US11180,11180,"Ames, IA Metro Area",0.4594,0.0103
310M200US11220,11220,"Amsterdam, NY Micro Area",0.4472,0.0147
310M200US11260,11260,"Anchorage, AK Metro Area",0.4141,0.0061
310M200US11380,11380,"Andrews, TX Micro Area",0.4712,0.0393
310M200US11420,11420,"Angola, IN Micro Area",0.4057,0.016
310M200US11460,11460,"Ann Arbor, MI Metro Area",0.473,0.0055
310M200US11500,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",0.4545,0.0108
310M200US11540,11540,"Appleton, WI Metro Area",0.3989,0.0077
310M200US11580,11580,"Arcadia, FL Micro Area",0.4222,0.0202
310M200US11620,11620,"Ardmore, OK Micro Area",0.446,0.0153
310M200US11660,11660,"Arkadelphia, AR Micro Area",0.4804,0.0239
310M200US11680,11680,"Arkansas City-Winfield, KS Micro Area",0.4365,0.0128
310M200US11700,11700,"Asheville, NC Metro Area",0.451,0.0059
310M200US11740,11740,"Ashland, OH Micro Area",0.4186,0.0325
310M200US11780,11780,"Ashtabula, OH Micro Area",0.4256,0.0088
310M200US11820,11820,"Astoria, OR Micro Area",0.4329,0.0244
